Date,AAPL,AMZN,BAC,CAT,CVX,GOOGL,HD,HON,IBM,JNJ,JPM,KO,MSFT,NEE,ORCL,PFE,PG,UNH,WMT,XOM
2017-04-21,32.90253448486328,44.92649841308594,18.478036880493164,77.82725524902344,71.41007995605469,42.5954475402832,120.65425109863281,95.36026000976562,104.3262710571289,95.03759002685547,66.50019836425781,32.53852081298828,59.96121597290039,26.53883171081543,38.86766815185547,21.382261276245117,70.11456298828125,147.76031494140625,21.537845611572266,54.041595458984375
2017-04-24,33.21937561035156,45.37049865722656,19.22660255432129,79.8818588256836,72.11811065673828,43.58626174926758,122.17449188232422,97.39383697509766,104.56692504882812,95.91958618164062,68.84484100341797,32.69718551635742,60.981651306152344,26.484960556030273,39.226341247558594,21.445831298828125,70.85034942626953,148.77035522460938,21.491853713989258,54.322872161865234
2017-04-25,33.42522048950195,45.38100051879883,19.511377334594727,86.16117858886719,72.66275024414062,44.077693939208984,123.09148406982422,97.02611541748047,104.33274841308594,96.34105682373047,69.44281005859375,32.5687370300293,61.33382797241211,26.518875122070312,39.12135696411133,21.458545684814453,71.2063980102539,150.24661254882812,21.5694580078125,54.73810577392578
2017-04-26,33.2286376953125,45.464500427246094,19.438146591186523,86.35922241210938,72.22025299072266,44.09257888793945,124.04865264892578,97.62643432617188,104.11808776855469,96.40350341796875,69.5765609741211,32.666961669921875,61.2525520324707,26.50092315673828,39.095123291015625,21.515745162963867,69.41832733154297,150.5401611328125,21.678668975830078,54.5171012878418
2017-04-27,33.25406265258789,45.91899871826172,19.242874145507812,84.7254409790039,71.80496215820312,44.20663070678711,125.57694244384766,97.46136474609375,104.28720092773438,96.58303833007812,68.931396484375,32.49318313598633,61.649879455566406,26.63858985900879,39.16510772705078,21.522104263305664,69.37874603271484,150.75588989257812,21.681541442871094,54.42332458496094
2017-04-28,33.22169876098633,46.2495002746582,18.990646362304688,84.37889099121094,72.64234161376953,45.84708023071289,125.56085968017578,98.4068603515625,104.26771545410156,96.3722915649414,68.45145416259766,32.59896469116211,61.821449279785156,26.646568298339844,39.3313102722168,21.560237884521484,69.09394073486328,150.97174072265625,21.606821060180664,54.684539794921875
2017-05-01,33.89929962158203,47.4114990234375,19.2103271484375,84.1643295288086,72.1113052368164,46.258670806884766,124.04058837890625,98.2267837524414,103.32449340820312,96.27082061767578,68.49866485595703,32.6518440246582,62.67935562133789,26.54281234741211,39.41004943847656,21.47125244140625,68.9040298461914,150.72140502929688,21.62118911743164,54.9591178894043
2017-05-02,34.114383697509766,47.34700012207031,19.14523696899414,83.76002502441406,71.73007202148438,46.470428466796875,124.63579559326172,98.44436645507812,103.49359893798828,96.55181884765625,68.05805206298828,32.7802734375,62.57999801635742,26.73833656311035,39.48004150390625,21.363197326660156,68.21571350097656,150.33290100097656,21.70454216003418,54.95243453979492
2017-05-03,34.01032257080078,47.05149841308594,19.340513229370117,83.78477478027344,72.65596008300781,47.033775329589844,124.67606353759766,98.35431671142578,103.1878662109375,96.26300048828125,68.45145416259766,32.727386474609375,62.38135528564453,26.60666275024414,39.27008056640625,21.274213790893555,68.38188171386719,148.95162963867188,21.77351188659668,55.387760162353516
2017-05-04,33.88774108886719,46.87649917602539,19.405603408813477,82.0107421875,71.3556137084961,47.34469985961914,124.56342315673828,98.45187377929688,103.46109771728516,96.74694061279297,68.5301284790039,32.9842643737793,62.137516021728516,26.80217742919922,39.777469635009766,21.261497497558594,68.39768981933594,150.22933959960938,21.94020652770996,54.677825927734375
