protocol,problem,parameter,value,lambda_1,stagnation_limit,seed,migd,tail_igd,n_evals,pitstop_count,redeployment_count,environment_change_count,change_response_count,replaced_count,runtime_sec
moderate_t10_n10,df4,lambda_1,0.08,0.08,8,9,0.2936599889109374,0.17774806562427262,12208,5,6,6,6,48,1.0039858000018285
moderate_t10_n10,df7,lambda_1,0.08,0.08,8,0,0.11362524642308079,0.012313291027529021,12196,4,6,6,6,48,0.9801818000014464
moderate_t10_n10,df7,lambda_1,0.08,0.08,8,1,0.07591369127185531,0.012401540211914027,12196,4,6,6,6,48,0.9751875000001746
moderate_t10_n10,df7,lambda_1,0.08,0.08,8,2,0.1227671844028768,0.012137547045312317,12208,5,6,6,6,48,0.9432868000003509
moderate_t10_n10,df7,lambda_1,0.08,0.08,8,3,0.09699849150600227,0.01263669799685532,12196,4,6,6,6,48,0.9570951999994577
moderate_t10_n10,df7,lambda_1,0.08,0.08,8,4,0.09076828448867506,0.013311960587839644,12208,5,6,6,6,48,0.9929388999989897
moderate_t10_n10,df7,lambda_1,0.08,0.08,8,5,0.10451700764021224,0.014219026664422141,12196,4,6,6,6,48,0.972123499999725
moderate_t10_n10,df7,lambda_1,0.08,0.08,8,6,0.09456896716609965,0.013851283120043023,12196,4,6,6,6,48,0.9603010999999242
moderate_t10_n10,df7,lambda_1,0.08,0.08,8,7,0.10648891036202339,0.012632521466265917,12220,6,6,6,6,48,0.9677671000026749
moderate_t10_n10,df7,lambda_1,0.08,0.08,8,8,0.16785434352957743,0.013145099435615959,12208,5,6,6,6,48,0.9549366000028385
moderate_t10_n10,df7,lambda_1,0.08,0.08,8,9,0.16155041590747624,0.013221156154656999,12208,5,6,6,6,48,0.9629533000006631
moderate_t10_n10,df9,lambda_1,0.08,0.08,8,0,0.16652794064657875,0.15983260344173583,12220,6,6,6,6,48,1.1043523999978788
moderate_t10_n10,df9,lambda_1,0.08,0.08,8,1,0.16513128389725126,0.10796493635394973,12220,6,6,6,6,48,1.0855295000001206
moderate_t10_n10,df9,lambda_1,0.08,0.08,8,2,0.1774516571579555,0.23842622859763035,12220,6,6,6,6,48,1.0768097000000125
moderate_t10_n10,df9,lambda_1,0.08,0.08,8,3,0.1641119773630775,0.15430097893982989,12220,6,6,6,6,48,1.0785753999989538
moderate_t10_n10,df9,lambda_1,0.08,0.08,8,4,0.15783503865162654,0.10838476441763781,12208,5,6,6,6,48,1.0846361000003526
moderate_t10_n10,df9,lambda_1,0.08,0.08,8,5,0.17140580872203387,0.13327387936686738,12220,6,6,6,6,48,1.0882280000005267
moderate_t10_n10,df9,lambda_1,0.08,0.08,8,6,0.18578359691788784,0.11267316750848941,12220,6,6,6,6,48,1.0788553999991564
moderate_t10_n10,df9,lambda_1,0.08,0.08,8,7,0.1628237403695399,0.12497464601378616,12220,6,6,6,6,48,1.0880694999978004
moderate_t10_n10,df9,lambda_1,0.08,0.08,8,8,0.1840169826545844,0.154725419844768,12220,6,6,6,6,48,1.1026449000019056
moderate_t10_n10,df9,lambda_1,0.08,0.08,8,9,0.17790533988776056,0.14306972739958518,12220,6,6,6,6,48,1.105073299997457
moderate_t10_n10,df1,lambda_1,0.1,0.1,8,0,0.0920571252856353,0.019127951029284204,12208,5,6,6,6,48,0.943569999999454
moderate_t10_n10,df1,lambda_1,0.1,0.1,8,1,0.07736724067124552,0.02074042226538963,12208,5,6,6,6,48,0.9718987999985984
moderate_t10_n10,df1,lambda_1,0.1,0.1,8,2,0.07707604966090992,0.01797440074495778,12208,5,6,6,6,48,0.9686231000014232
moderate_t10_n10,df1,lambda_1,0.1,0.1,8,3,0.0967676368424986,0.0293359570554274,12208,5,6,6,6,48,0.981892699997843
moderate_t10_n10,df1,lambda_1,0.1,0.1,8,4,0.10066722839643284,0.01794237840463859,12196,4,6,6,6,48,0.9681276999981492
moderate_t10_n10,df1,lambda_1,0.1,0.1,8,5,0.10833765593596668,0.02148523712631347,12220,6,6,6,6,48,0.9551687999992282
moderate_t10_n10,df1,lambda_1,0.1,0.1,8,6,0.08969457383596463,0.028902750720069488,12184,3,6,6,6,48,0.9566086999984691
moderate_t10_n10,df1,lambda_1,0.1,0.1,8,7,0.06874513637413655,0.024911140858608516,12208,5,6,6,6,48,0.9799281999985396
moderate_t10_n10,df1,lambda_1,0.1,0.1,8,8,0.08641858625488201,0.021069413964410654,12196,4,6,6,6,48,0.9559910999996646
moderate_t10_n10,df1,lambda_1,0.1,0.1,8,9,0.10597010044823889,0.020736491006189538,12208,5,6,6,6,48,0.9619989000020723
moderate_t10_n10,df4,lambda_1,0.1,0.1,8,0,0.32660881210430337,0.18260826326221646,12208,5,6,6,6,48,0.9945464999982505
moderate_t10_n10,df4,lambda_1,0.1,0.1,8,1,0.2903491113218087,0.1801945920112091,12208,5,6,6,6,48,1.0135922000008577
moderate_t10_n10,df4,lambda_1,0.1,0.1,8,2,0.3244323814317435,0.1803429852990874,12220,6,6,6,6,48,1.023060900002747
moderate_t10_n10,df4,lambda_1,0.1,0.1,8,3,0.3143930528180297,0.18433817611823272,12220,6,6,6,6,48,1.0283429999981308
moderate_t10_n10,df4,lambda_1,0.1,0.1,8,4,0.45594323251685653,0.17924365464957726,12208,5,6,6,6,48,0.9992990999999165
moderate_t10_n10,df4,lambda_1,0.1,0.1,8,5,0.36165585643176734,0.1811905719475189,12220,6,6,6,6,48,0.9930686000006972
moderate_t10_n10,df4,lambda_1,0.1,0.1,8,6,0.3582412480738528,0.18004819166086122,12196,4,6,6,6,48,1.0068546000002243
moderate_t10_n10,df4,lambda_1,0.1,0.1,8,7,0.41926594680585627,0.17864879951153284,12208,5,6,6,6,48,1.0074636999997892
moderate_t10_n10,df4,lambda_1,0.1,0.1,8,8,0.2902537660430356,0.17968522217804256,12220,6,6,6,6,48,0.9960190999991028
moderate_t10_n10,df4,lambda_1,0.1,0.1,8,9,0.30782859498855747,0.1788642775795706,12196,4,6,6,6,48,0.9937680000002729
moderate_t10_n10,df7,lambda_1,0.1,0.1,8,0,0.10865085867890531,0.01367468488126081,12208,5,6,6,6,48,0.9507593999987876
moderate_t10_n10,df7,lambda_1,0.1,0.1,8,1,0.07259989088909395,0.013219456877278468,12208,5,6,6,6,48,0.95847479999793
moderate_t10_n10,df7,lambda_1,0.1,0.1,8,2,0.09466509527212968,0.012524258140278171,12220,6,6,6,6,48,0.9629180999982054
moderate_t10_n10,df7,lambda_1,0.1,0.1,8,3,0.1410110203366864,0.012899018287743794,12196,4,6,6,6,48,0.9535090999997919
moderate_t10_n10,df7,lambda_1,0.1,0.1,8,4,0.1337116296478565,0.013336238269604676,12208,5,6,6,6,48,0.9386416999986977
moderate_t10_n10,df7,lambda_1,0.1,0.1,8,5,0.1271615512063277,0.012338336377596645,12208,5,6,6,6,48,0.9273795999979484
moderate_t10_n10,df7,lambda_1,0.1,0.1,8,6,0.12102724153194219,0.012935824502931353,12220,6,6,6,6,48,0.9200110999991011
moderate_t10_n10,df7,lambda_1,0.1,0.1,8,7,0.11099405299998,0.013360198015589292,12208,5,6,6,6,48,0.9332603999973799
moderate_t10_n10,df7,lambda_1,0.1,0.1,8,8,0.2591489658198732,0.012873934553123028,12220,6,6,6,6,48,0.9621936000003188
moderate_t10_n10,df7,lambda_1,0.1,0.1,8,9,0.12934599531767596,0.014415703292588563,12196,4,6,6,6,48,0.9499457999991137
moderate_t10_n10,df9,lambda_1,0.1,0.1,8,0,0.19436097720846715,0.17013111675456166,12208,5,6,6,6,48,1.1099732000002405
moderate_t10_n10,df9,lambda_1,0.1,0.1,8,1,0.23548465644179647,0.2561633015926808,12220,6,6,6,6,48,1.0947331999996095
