protocol,problem,parameter,value,mean_migd,std_migd,ci95_low,ci95_high,mean_tail_igd,mean_pitstop_count,mean_redeployment_count,mean_runtime_sec,n_runs
moderate_t10_n10,df1,stagnation_limit,8.0,0.09031013337059109,0.013104191352161381,0.08218807142335881,0.09843219531782336,0.02222261431752893,4.7,6.0,1.0626092199996493,10
moderate_t10_n10,df4,stagnation_limit,8.0,0.3448972002535811,0.05511614532593406,0.31073585945813725,0.379058541049025,0.1805164734217849,5.2,6.0,1.0067675600002985,10
moderate_t10_n10,df7,stagnation_limit,8.0,0.1298316301700471,0.04973655645793064,0.09900459309944608,0.1606586672406481,0.01315776531979948,5.1,6.0,1.0298336099996959,10
moderate_t10_n10,df9,stagnation_limit,8.0,0.1740382219256233,0.03021284148668661,0.15531210876364604,0.19276433508760055,0.139783581005037,5.8,6.0,1.092006179999953,10
moderate_t10_n10,OVERALL,stagnation_limit,10.0,0.19640657621474011,0.10572615861194322,0.16364170020629137,0.22917145222318885,0.09300151261791723,2.925,6.0,1.060068575000423,40
moderate_t10_n10,df1,stagnation_limit,10.0,0.083088875226488,0.011277328812794703,0.07609911441215753,0.09007863604081848,0.018835093926246344,1.9,6.0,1.1030437900011747,10
moderate_t10_n10,df4,stagnation_limit,10.0,0.3453717497606724,0.0554267497378243,0.311017894356226,0.37972560516511883,0.1817920855618288,4.9,6.0,1.0106703400007973,10
moderate_t10_n10,df7,stagnation_limit,10.0,0.17907584768203832,0.07046472364378728,0.13540135948593565,0.222750335878141,0.013435837374933762,4.1,6.0,1.0202243999996425,10
moderate_t10_n10,df9,stagnation_limit,10.0,0.17808983218976177,0.025359128074345465,0.16237208176835488,0.19380758261116865,0.15794303360865997,0.8,6.0,1.106335770000078,10
moderate_t10_n10,OVERALL,stagnation_limit,12.0,0.23137452558183944,0.1164682462705106,0.1952806421184174,0.2674684090452615,0.14402334751238816,0.0,6.0,1.0328341700003876,40
moderate_t10_n10,df1,stagnation_limit,12.0,0.09204685894610373,0.01311345533697503,0.08391905512159627,0.1001746627706112,0.02034167122646163,0.0,6.0,1.0199391100002686,10
moderate_t10_n10,df4,stagnation_limit,12.0,0.3453499140155819,0.05579602523932102,0.31076717928404474,0.3799326487471191,0.18219838251990067,0.0,6.0,0.9979245600006834,10
moderate_t10_n10,df7,stagnation_limit,12.0,0.3097283041188801,0.09401926452044887,0.2514545602344586,0.36800204800330155,0.21549524374834075,0.0,6.0,1.0344956400003866,10
moderate_t10_n10,df9,stagnation_limit,12.0,0.17837302524679202,0.02665749198189796,0.16185054053817918,0.19489550995540486,0.15805809255484962,0.0,6.0,1.0789773700002114,10
