protocol,problem,algorithm,mean,std,ci95_low,ci95_high
moderate_t10_n10,df7,KGB-DMOEA,0.31569271002004273,0.06183808946987133,0.286751593282659,0.3446338267574264
moderate_t10_n10,df7,MDDM-DMOEA,0.18211121095627186,0.07382320167026042,0.1475608890465469,0.21666153286599682
moderate_t10_n10,df7,NSGA-II,0.1730947476655408,0.024603408355103693,0.16157999810832005,0.18460949722276157
moderate_t10_n10,df7,PPS-DMOEA,0.25064407125303356,0.06371675746027834,0.22082371083125946,0.2804644316748078
moderate_t10_n10,df8,DNSGA-II-A,0.09823114041248363,0.008027627880776227,0.09447409491490216,0.10198818591006512
moderate_t10_n10,df8,DNSGA-II-B,0.09579955529251313,0.007090336702740361,0.09248117556926273,0.09911793501576353
moderate_t10_n10,df8,FITO,0.07278670149295041,0.004523180987175687,0.07066978762810752,0.0749036153577933
moderate_t10_n10,df8,KGB-DMOEA,0.1557198521644211,0.021832180212853346,0.14550207730124984,0.16593762702759238
moderate_t10_n10,df8,MDDM-DMOEA,0.0872869952174686,0.00618795612721631,0.08439094260363696,0.09018304783130025
moderate_t10_n10,df8,NSGA-II,0.1389905309150539,0.006902205287503608,0.13576019940443448,0.14222086242567336
moderate_t10_n10,df8,PPS-DMOEA,0.09031599078927076,0.0065394272134965785,0.0872554446436199,0.09337653693492162
moderate_t10_n10,df9,DNSGA-II-A,0.4477721491669013,0.04428869106564748,0.42704440370669716,0.4684998946271056
moderate_t10_n10,df9,DNSGA-II-B,0.447453448948401,0.040460844148598324,0.4285171909909459,0.4663897069058561
moderate_t10_n10,df9,FITO,0.22833169458021066,0.030051183600623917,0.21426730772514857,0.24239608143527264
moderate_t10_n10,df9,KGB-DMOEA,0.6376007318244785,0.17924995757725162,0.5537091693281653,0.7214922943207918
moderate_t10_n10,df9,MDDM-DMOEA,0.33940411190648495,0.038466715677748606,0.3214011348016396,0.3574070890113303
moderate_t10_n10,df9,NSGA-II,0.3305245623853785,0.04727178954004453,0.30840068386338715,0.3526484409073698
