protocol,problem,seed,algorithm,migd,tail_igd,n_evals,environment_change_count,change_response_count,response_activation_rate,prediction_count,replaced_count,kde_success_count,kde_fallback_count,response_evaluation_count
moderate_t10_n10,df1,1,PPS-DMOEA,0.2586291234936659,0.3259199755287393,6000,6,6,1.0,6,300,0,0,600
moderate_t10_n10,df1,1,MDDM-DMOEA_vs_NSGAII_DIFF,0.15223156140506827,0.3413188727360815,0,6,6,1.0,6,300,6,0,600
moderate_t10_n10,df1,1,PPS-DMOEA_vs_NSGAII_DIFF,0.1579159991470271,0.3028403455481575,0,6,6,1.0,6,300,0,0,600
moderate_t10_n10,df1,2,NSGA-II,0.09997046499433912,0.029391266700039394,6000,6,0,0.0,0,0,0,0,0
moderate_t10_n10,df1,2,MDDM-DMOEA,0.26565463785455806,0.35354645748299307,6000,6,6,1.0,6,300,6,0,600
moderate_t10_n10,df1,2,PPS-DMOEA,0.2806560588086884,0.4690576626782458,6000,6,6,1.0,6,300,0,0,600
moderate_t10_n10,df1,2,MDDM-DMOEA_vs_NSGAII_DIFF,0.16568417286021894,0.3241551907829537,0,6,6,1.0,6,300,6,0,600
moderate_t10_n10,df1,2,PPS-DMOEA_vs_NSGAII_DIFF,0.18068559381434926,0.4396663959782064,0,6,6,1.0,6,300,0,0,600
moderate_t10_n10,df2,0,NSGA-II,0.14318923040692966,0.08300268900023018,6000,6,0,0.0,0,0,0,0,0
moderate_t10_n10,df2,0,MDDM-DMOEA,0.2665180443912989,0.18258166695497252,6000,6,6,1.0,6,300,6,0,600
moderate_t10_n10,df2,0,PPS-DMOEA,0.3008215064599566,0.3087713868050236,6000,6,6,1.0,6,300,0,0,600
moderate_t10_n10,df2,0,MDDM-DMOEA_vs_NSGAII_DIFF,0.12332881398436923,0.09957897795474234,0,6,6,1.0,6,300,6,0,600
moderate_t10_n10,df2,0,PPS-DMOEA_vs_NSGAII_DIFF,0.15763227605302693,0.22576869780479342,0,6,6,1.0,6,300,0,0,600
moderate_t10_n10,df2,1,NSGA-II,0.10600691537012569,0.07137265876850409,6000,6,0,0.0,0,0,0,0,0
moderate_t10_n10,df2,1,MDDM-DMOEA,0.27764742115791435,0.2958058071382114,6000,6,6,1.0,6,300,6,0,600
moderate_t10_n10,df2,1,PPS-DMOEA,0.31315636480571596,0.34517881644859977,6000,6,6,1.0,6,300,0,0,600
moderate_t10_n10,df2,1,MDDM-DMOEA_vs_NSGAII_DIFF,0.17164050578778867,0.22443314836970735,0,6,6,1.0,6,300,6,0,600
moderate_t10_n10,df2,1,PPS-DMOEA_vs_NSGAII_DIFF,0.20714944943559027,0.2738061576800957,0,6,6,1.0,6,300,0,0,600
moderate_t10_n10,df2,2,NSGA-II,0.11724235751375538,0.07227886460370317,6000,6,0,0.0,0,0,0,0,0
moderate_t10_n10,df2,2,MDDM-DMOEA,0.28105498567325743,0.3161676943437204,6000,6,6,1.0,6,300,6,0,600
moderate_t10_n10,df2,2,PPS-DMOEA,0.3417422974861259,0.37233712940710717,6000,6,6,1.0,6,300,0,0,600
moderate_t10_n10,df2,2,MDDM-DMOEA_vs_NSGAII_DIFF,0.16381262815950204,0.24388882974001722,0,6,6,1.0,6,300,6,0,600
moderate_t10_n10,df2,2,PPS-DMOEA_vs_NSGAII_DIFF,0.2244999399723705,0.30005826480340403,0,6,6,1.0,6,300,0,0,600
