family,protocol,problem,baseline,fito_mean,baseline_mean,mann_whitney_u,p_value,fito_better,cliffs_delta,fito_ci95_low,fito_ci95_high,baseline_ci95_low,baseline_ci95_high,holm_p_value,holm_family_size,holm_scope
dynamic_budget,fast_t5_n10,df9,NSGA-II,0.45114576969666753,0.45139496566006665,201.0,0.9892089047911196,True,0.005,0.419092174827428,0.48319936456590706,0.4179283884036785,0.4848615429164548,1.0,162,dynamic_budget_162_comparisons
dynamic_budget,fast_t5_n10,df9,PPS-DMOEA,0.45114576969666753,0.598008232554258,16.0,6.916583488077116e-07,True,-0.92,0.419092174827428,0.48319936456590706,0.5750550221239625,0.6209614429845534,4.4957792672501256e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df1,DNSGA-II-A,0.10835691815756902,0.1885640692111081,3.0,1.0645689837502488e-07,True,-0.985,0.09646928922237553,0.12024454709276251,0.1794585612795649,0.19766957714265132,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df1,DNSGA-II-B,0.10835691815756902,0.27822101319621706,0.0,6.79561512817336e-08,True,-1.0,0.09646928922237553,0.12024454709276251,0.2670676620270696,0.2893743643653645,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df1,KGB-DMOEA,0.10835691815756902,0.17852816605429012,7.0,1.9177119523374596e-07,True,-0.965,0.09646928922237553,0.12024454709276251,0.16892440399419917,0.18813192811438106,1.4382839642530948e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df1,MDDM-DMOEA,0.10835691815756902,0.236056823632152,0.0,6.79561512817336e-08,True,-1.0,0.09646928922237553,0.12024454709276251,0.2276596153491622,0.24445403191514178,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df1,NSGA-II,0.10835691815756902,0.09493484326948977,269.0,0.06389223492711604,False,0.345,0.09646928922237553,0.12024454709276251,0.08968684075778155,0.10018284578119799,0.8944912889796246,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df1,PPS-DMOEA,0.10835691815756902,0.25058143430911967,0.0,6.79561512817336e-08,True,-1.0,0.09646928922237553,0.12024454709276251,0.24329131419836567,0.2578715544198737,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df2,DNSGA-II-A,0.2175243365621625,0.12898109686453016,400.0,6.79561512817336e-08,False,1.0,0.20791925095487282,0.22712942216945217,0.12411097720707942,0.1338512165219809,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df2,DNSGA-II-B,0.2175243365621625,0.28988369942122194,0.0,6.79561512817336e-08,True,-1.0,0.20791925095487282,0.22712942216945217,0.2816815396602602,0.29808585918218367,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df2,KGB-DMOEA,0.2175243365621625,0.13060365996538953,400.0,6.79561512817336e-08,False,1.0,0.20791925095487282,0.22712942216945217,0.1249877108216806,0.13621960910909844,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df2,MDDM-DMOEA,0.2175243365621625,0.27142298445534496,17.0,7.9479479088229e-07,True,-0.915,0.20791925095487282,0.22712942216945217,0.2605027046793161,0.28234326423137385,5.086686661646656e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df2,NSGA-II,0.2175243365621625,0.09731462038419966,400.0,6.79561512817336e-08,False,1.0,0.20791925095487282,0.22712942216945217,0.08745103391229142,0.1071782068561079,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df2,PPS-DMOEA,0.2175243365621625,0.2822266440017021,3.0,1.0645689837502488e-07,True,-0.985,0.20791925095487282,0.22712942216945217,0.27386413603737897,0.29058915196602525,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df3,DNSGA-II-A,0.336428106480737,0.6835282134703853,14.0,5.226885322685757e-07,True,-0.93,0.28221883904060324,0.3906373739208708,0.6335889243013956,0.733467502639375,3.502013166199457e-05,162,dynamic_budget_162_comparisons
