family,metric,universe,baseline,fito_mean,baseline_mean,mann_whitney_u,p_value,fito_better,cliffs_delta,holm_p_value,holm_scope
main,migd,tech14,MDDM-DMOEA,0.0010818396999637602,0.001040825093582765,243.0,0.25029679750351186,False,0.215,0.5005935950070237,main_migd_12_comparisons
main,migd,tech14,NSGA-II,0.0010818396999637602,0.001218054476618225,56.0,0.00010373400726161331,True,-0.72,0.0007261380508312933,main_migd_12_comparisons
main,migd,tech14,PPS-DMOEA,0.0010818396999637602,0.0011343405952469149,123.0,0.03851496043112118,True,-0.385,0.2310897625867271,main_migd_12_comparisons
main,migd,market20,DNSGA-II-A,0.0011224399308348899,0.0009922550603506252,400.0,6.79561512817336e-08,False,1.0,8.154738153808032e-07,main_migd_12_comparisons
main,migd,market20,DNSGA-II-B,0.0011224399308348899,0.00109963810458878,262.0,0.09619629624919565,False,0.31,0.4809814812459783,main_migd_12_comparisons
main,migd,market20,KGB-DMOEA,0.0011224399308348899,0.00102873758213053,388.0,3.938805472866588e-07,False,0.94,3.938805472866588e-06,main_migd_12_comparisons
main,migd,market20,MDDM-DMOEA,0.0011224399308348899,0.001021560370153665,382.0,9.126646630193904e-07,False,0.91,8.213981967174514e-06,main_migd_12_comparisons
main,migd,market20,NSGA-II,0.0011224399308348899,0.0010136699413142648,397.0,1.0645689837502488e-07,False,0.985,1.1710258821252736e-06,main_migd_12_comparisons
main,migd,market20,PPS-DMOEA,0.0011224399308348899,0.00110383270860007,256.0,0.1332831707493199,False,0.28,0.4809814812459783,main_migd_12_comparisons
main,final_wealth,tech14,DNSGA-II-A,41.61823150755237,34.60890054634077,282.0,0.027483421975621553,True,0.41,0.19238395382935086,main_final_wealth_12_comparisons
main,final_wealth,tech14,DNSGA-II-B,41.61823150755237,31.1395758935926,311.0,0.0027986021909070795,True,0.555,0.022388817527256636,main_final_wealth_12_comparisons
main,final_wealth,tech14,KGB-DMOEA,41.61823150755237,21.728347741551463,370.0,4.540079639937965e-06,True,0.85,5.4480955679255574e-05,main_final_wealth_12_comparisons
main,final_wealth,tech14,MDDM-DMOEA,41.61823150755237,34.71515744614469,266.0,0.07643094557954021,True,0.33,0.38215472789770105,main_final_wealth_12_comparisons
main,final_wealth,tech14,NSGA-II,41.61823150755237,24.83204444148509,360.0,1.5997235246344776e-05,True,0.8,0.00017596958770979253,main_final_wealth_12_comparisons
main,final_wealth,tech14,PPS-DMOEA,41.61823150755237,27.78281664915305,334.0,0.0003047989167029453,True,0.67,0.003047989167029453,main_final_wealth_12_comparisons
main,final_wealth,market20,DNSGA-II-A,5.743760877584798,6.058121325722879,125.0,0.04388038446122087,False,-0.375,0.2632823067673252,main_final_wealth_12_comparisons
main,final_wealth,market20,DNSGA-II-B,5.743760877584798,5.520198133193444,258.0,0.11985556595924766,True,0.29,0.47942226383699066,main_final_wealth_12_comparisons
main,final_wealth,market20,KGB-DMOEA,5.743760877584798,5.810249696189126,176.0,0.5249869101903615,False,-0.12,0.7508903925105356,main_final_wealth_12_comparisons
main,final_wealth,market20,MDDM-DMOEA,5.743760877584798,5.886937260222365,165.0,0.3507022236669548,False,-0.175,0.7508903925105356,main_final_wealth_12_comparisons
main,final_wealth,market20,NSGA-II,5.743760877584798,6.404213098257887,70.0,0.0004600727270090418,False,-0.65,0.004140654543081376,main_final_wealth_12_comparisons
main,final_wealth,market20,PPS-DMOEA,5.743760877584798,5.570288820108724,243.0,0.25029679750351186,True,0.215,0.7508903925105356,main_final_wealth_12_comparisons
main,annualized_return,tech14,DNSGA-II-A,0.47322427184906857,0.4499423227177256,282.0,0.027483421975621553,True,0.41,0.19238395382935086,main_annualized_return_12_comparisons
main,annualized_return,tech14,DNSGA-II-B,0.47322427184906857,0.4316463490910071,311.0,0.0027986021909070795,True,0.555,0.022388817527256636,main_annualized_return_12_comparisons
main,annualized_return,tech14,KGB-DMOEA,0.47322427184906857,0.3811615925204159,370.0,4.540079639937965e-06,True,0.85,5.4480955679255574e-05,main_annualized_return_12_comparisons
main,annualized_return,tech14,MDDM-DMOEA,0.47322427184906857,0.4460813466586517,266.0,0.07643094557954021,True,0.33,0.38215472789770105,main_annualized_return_12_comparisons
main,annualized_return,tech14,NSGA-II,0.47322427184906857,0.40115834471074496,360.0,1.5997235246344776e-05,True,0.8,0.00017596958770979253,main_annualized_return_12_comparisons
main,annualized_return,tech14,PPS-DMOEA,0.47322427184906857,0.4145293185167647,334.0,0.0003047989167029453,True,0.67,0.003047989167029453,main_annualized_return_12_comparisons
main,annualized_return,market20,DNSGA-II-A,0.20164485442054017,0.20849678441809266,125.0,0.04388038446122087,False,-0.375,0.2632823067673252,main_annualized_return_12_comparisons
main,annualized_return,market20,DNSGA-II-B,0.20164485442054017,0.196783432324098,258.0,0.11985556595924766,True,0.29,0.47942226383699066,main_annualized_return_12_comparisons
main,annualized_return,market20,KGB-DMOEA,0.20164485442054017,0.203221147964837,176.0,0.5249869101903615,False,-0.12,0.7508903925105356,main_annualized_return_12_comparisons
main,annualized_return,market20,MDDM-DMOEA,0.20164485442054017,0.2048247445007231,165.0,0.3507022236669548,False,-0.175,0.7508903925105356,main_annualized_return_12_comparisons
main,annualized_return,market20,NSGA-II,0.20164485442054017,0.2155649687212388,70.0,0.0004600727270090418,False,-0.65,0.004140654543081376,main_annualized_return_12_comparisons
main,annualized_return,market20,PPS-DMOEA,0.20164485442054017,0.19787376285354896,243.0,0.25029679750351186,True,0.215,0.7508903925105356,main_annualized_return_12_comparisons
