protocol,problem,algorithm,mean,std,ci95_low,ci95_high
fast_t5_n10,df7,DNSGA-II-A,0.303713127328758,0.04085534916495333,0.2845922353402438,0.3228340193172722
fast_t5_n10,df7,DNSGA-II-B,0.2861938504637414,0.041635892545288544,0.2667076529283946,0.3056800479990882
fast_t5_n10,df7,FITO,0.2372061322514052,0.07020051633933977,0.20435127926647728,0.2700609852363332
fast_t5_n10,df7,KGB-DMOEA,0.3409466668713596,0.030228406846573602,0.3267993369840406,0.3550939967586786
fast_t5_n10,df7,MDDM-DMOEA,0.18729254701189083,0.03913806578020205,0.16897536838734578,0.20560972563643587
fast_t5_n10,df7,NSGA-II,0.17001744935147858,0.03565887752172127,0.1533285809545496,0.18670631774840757
fast_t5_n10,df7,PPS-DMOEA,0.276152044553032,0.04196444909939095,0.2565120778170416,0.2957920112890224
fast_t5_n10,df8,DNSGA-II-A,0.13753740964829123,0.01552205985785242,0.13027286201750396,0.1448019572790785
fast_t5_n10,df8,DNSGA-II-B,0.12466258675326272,0.019288016450422753,0.11563551718320048,0.13368965632332497
fast_t5_n10,df8,FITO,0.08254646486275025,0.004892146764509378,0.08025686969863924,0.08483606002686123
fast_t5_n10,df8,KGB-DMOEA,0.23261299413322484,0.029545720438345864,0.2187851713200235,0.24644081694642617
fast_t5_n10,df8,MDDM-DMOEA,0.11317395570682828,0.007769543679321786,0.10953769733359686,0.1168102140800597
fast_t5_n10,df8,NSGA-II,0.1427291631691722,0.012477790875692328,0.13688937727905315,0.14856894905929124
fast_t5_n10,df8,PPS-DMOEA,0.11820135579091887,0.012712479190933303,0.11225173238824863,0.1241509791935891
fast_t5_n10,df9,DNSGA-II-A,0.638820709260511,0.04317982060157564,0.6186119311523459,0.659029487368676
fast_t5_n10,df9,DNSGA-II-B,0.7981172436072838,0.1772744260377073,0.7151502583318141,0.8810842288827532
fast_t5_n10,df9,FITO,0.34274853961540236,0.04841615453749167,0.32008908178840306,0.36540799744240154
fast_t5_n10,df9,KGB-DMOEA,1.1237372984915934,0.22553088389063355,1.018185595738159,1.2292890012450284
fast_t5_n10,df9,MDDM-DMOEA,0.616743142728297,0.09837884642438446,0.5707004253147123,0.6627858601418817
fast_t5_n10,df9,NSGA-II,0.4801006550248686,0.07809930593413672,0.4435490547162959,0.5166522553334413
fast_t5_n10,df9,PPS-DMOEA,0.7312641865765352,0.13020186016484683,0.6703278402767151,0.7922005328763554
